Method,MeanRank,Num1sFitness,MeanRankTime,Num1sTime,NumRuns,MedianLogTimesWorseFitness
adaptive_de_rand_1_bin,4.609,3,9.261,0,46,1.6
de_rand_1_bin_radiuslimited,4.826,2,6.478,0,46,0.5
adaptive_de_rand_1_bin_radiuslimited,4.826,1,8.783,0,46,0.6
xnes,5.261,6,14.565,0,46,1.8
generating_set_search,5.565,5,4.304,8,46,0.3
dxnes,6.13,0,14.304,0,46,0.5
de_rand_1_bin,6.739,1,8.826,0,46,2.9
separable_nes,8.087,2,4.261,1,46,8.6
resampling_inheritance_memetic_search,8.261,1,4.522,6,46,7.9
de_rand_2_bin_radiuslimited,8.522,0,9.174,0,46,5.3
probabilistic_descent,8.826,0,5.739,5,46,7.2
resampling_memetic_search,8.913,2,5.913,2,46,8.4
de_rand_2_bin,11.13,0,9.696,0,46,8.9
random_search,14.087,0,5.304,1,46,11.2
simultaneous_perturbation_stochastic_approximation,14.217,0,8.87,0,46,11.8
