"Problem","NumDims","Method","OldMedian","Order","NewMedian","Pvalue","Level","StatSignDiff"
"Sphere",5,"de_rand_1_bin",2.2847184748124056e-7,">",7.007604328095475e-9,1.2028633049614636e-9,0.01,"Yes"
"Sphere",10,"de_rand_1_bin",4.682629271518384e-7,">",8.800602453562745e-9,4.243652513534886e-14,0.01,"Yes"
"Sphere",30,"de_rand_1_bin",4.132228284408231e-5,">",9.224188753066283e-9,4.243652513534886e-14,0.01,"Yes"
"Schwefel2.22",5,"de_rand_1_bin",3.931973387679786e-5,">",8.33958075136292e-9,4.243652513534886e-14,0.01,"Yes"
"Schwefel2.22",10,"de_rand_1_bin",0.00015484960797466292,">",8.814900426048795e-9,4.243652513534886e-14,0.01,"Yes"
"Schwefel2.22",30,"de_rand_1_bin",0.001521004852215097,">",2.0387710355604903e-8,4.243652513534886e-14,0.01,"Yes"
"Schwefel2.21",5,"de_rand_1_bin",0.003576655283957742,">",3.61095680342203e-7,4.243652513534886e-14,0.01,"Yes"
"Schwefel2.21",10,"de_rand_1_bin",0.04057899976560276,">",6.048486225764087e-5,4.243652513534886e-14,0.01,"Yes"
"Schwefel2.21",30,"de_rand_1_bin",9.984427806153095,">",9.168103974759802,0.523310287476846,0.01,"No"
"Schwefel1.2",5,"de_rand_1_bin",0.0029055868592697187,">",8.948636833403492e-9,4.243652513534886e-14,0.01,"Yes"
"Schwefel1.2",10,"de_rand_1_bin",0.06994391353569868,">",1.1756876731876262e-6,4.243652513534886e-14,0.01,"Yes"
"Schwefel1.2",30,"de_rand_1_bin",11452.51503029228,">",4088.3302049411977,4.243652513534886e-14,0.01,"Yes"
"Schwefel1.2",50,"de_rand_1_bin",54743.49575841313,">",46280.38704862354,2.3666107428794192e-7,0.01,"Yes"
"Rosenbrock",5,"de_rand_1_bin",0.26279653065669206,">",4.232482554476648e-6,2.0405327273919122e-7,0.01,"Yes"
"Rosenbrock",10,"de_rand_1_bin",2.0852768420606376,">",0.0007822883101601809,4.243652513534886e-14,0.01,"Yes"
"Rosenbrock",30,"de_rand_1_bin",21.352385581154614,">",8.333374629185478,4.243652513534886e-14,0.01,"Yes"
"Rosenbrock",50,"de_rand_1_bin",41.279015709114745,">",28.91609861702598,4.243652513534886e-14,0.01,"Yes"
"Rastrigin",50,"de_rand_1_bin",342.3473729733778,">",311.66421643482306,3.928544806596644e-6,0.01,"Yes"
"Rastrigin",100,"de_rand_1_bin",953.6305083301536,">",906.6908549064483,5.8870154367062985e-8,0.01,"Yes"
"Ackley",50,"de_rand_1_bin",1.1134181068239712e-6,">",9.673080114680488e-9,4.243652513534886e-14,0.01,"Yes"
"Ackley",100,"de_rand_1_bin",3.5823632063530813,">",0.1360999685006976,4.243652513534886e-14,0.01,"Yes"
"Griewank",50,"de_rand_1_bin",9.046517090993689e-9,"<",9.57922785538301e-9,0.0905683694828791,0.01,"No"
"Griewank",100,"de_rand_1_bin",2.7037813335809755,">",0.1962555590654249,4.243652513534886e-14,0.01,"Yes"
"Sphere",5,"de_rand_1_bin_radiuslimited",3.9672933051287033e-8,">",7.342659902038014e-9,1.273095754060466e-12,0.01,"Yes"
"Sphere",10,"de_rand_1_bin_radiuslimited",1.1877682665267603e-7,">",8.020893321061637e-9,4.243652513534886e-14,0.01,"Yes"
"Sphere",30,"de_rand_1_bin_radiuslimited",5.253468078601873e-7,">",9.45960674186036e-9,4.243652513534886e-14,0.01,"Yes"
