

RunID,N,Sampler,Utilities,Mu,Lambda,NumFuncEvals,Time,Fitness
1,2,EigenCovarSampler,linear_utilities,1,8,1000,0.027465435,8.55202924058741e-25
1,2,EigenCovarSampler,linear_utilities,1,8,1000,0.021503089,2.110400136692512e-27
1,2,EigenCovarSampler,linear_utilities,2,8,1000,0.027999214,1.9095070123165593e-12
1,2,EigenCovarSampler,linear_utilities,3,8,1000,0.027956619,0.07703690389296812
1,2,EigenCovarSampler,linear_utilities,4,8,1000,0.007022434,2.099499811703051
1,2,EigenCovarSampler,linear_utilities,1,4,1000,0.007495833,1.2739567287354604e-7
1,2,EigenCovarSampler,linear_utilities,1,4,1000,0.01213286,7.926400048746639e-7
1,2,EigenCovarSampler,linear_utilities,1,4,1000,0.00734685,0.0007482674386422355
1,2,EigenCovarSampler,linear_utilities,2,4,1000,0.007735499,0.2392740369169134
1,2,EigenCovarSampler,linear_utilities,2,4,1000,0.022706057,8.54961420128417
1,2,EigenCovarSampler,linear_utilities,1,8,1000,0.004259386,2.1518988870024417e-11
1,2,EigenCovarSampler,linear_utilities,1,8,1000,0.021467899,2.1257952212067198e-22
1,2,EigenCovarSampler,linear_utilities,2,8,1000,0.005399138,0.012679653450276506
1,2,EigenCovarSampler,linear_utilities,3,8,1000,0.008626006,0.30470239079203376
1,2,EigenCovarSampler,linear_utilities,4,8,1000,0.0072081,0.9182707228214011
1,2,EigenCovarSampler,linear_utilities,1,16,1008,0.00560806,1.7861234934209082e-17
1,2,EigenCovarSampler,linear_utilities,2,16,1008,0.003512242,2.3916612511992092e-11
1,2,EigenCovarSampler,linear_utilities,3,16,1008,0.003611704,0.007759962499669315
1,2,EigenCovarSampler,linear_utilities,6,16,1008,0.002834358,0.2016020510017061
1,2,EigenCovarSampler,linear_utilities,8,16,1008,0.004530755,1.9290707814476467
1,2,CholeskyCovarSampler,linear_utilities,1,8,1000,0.004113945,4.256851064035083e-22
1,2,CholeskyCovarSampler,linear_utilities,1,8,1000,0.004108096,4.4439413306726605e-11
1,2,CholeskyCovarSampler,linear_utilities,2,8,1000,0.003732617,7.353004068144172e-16
1,2,CholeskyCovarSampler,linear_utilities,3,8,1000,0.007490218,0.011065438557371807
1,2,CholeskyCovarSampler,linear_utilities,4,8,1000,0.00655332,0.4248801656195958
1,2,CholeskyCovarSampler,linear_utilities,1,4,1000,0.007964338,1.0323454124501743e-10
1,2,CholeskyCovarSampler,linear_utilities,1,4,1000,0.022895021,5.225676502198435e-7
1,2,CholeskyCovarSampler,linear_utilities,1,4,1000,0.010377202,0.06557974781610601
1,2,CholeskyCovarSampler,linear_utilities,2,4,1000,0.010879868,27.496419245960997
1,2,CholeskyCovarSampler,linear_utilities,2,4,1000,0.006637526,1.1156573288892648
1,2,CholeskyCovarSampler,linear_utilities,1,8,1000,0.003589622,4.5606021083089745e-29
1,2,CholeskyCovarSampler,linear_utilities,1,8,1000,0.006414386,8.436122019550087e-20
1,2,CholeskyCovarSampler,linear_utilities,2,8,1000,0.005654237,0.004181798689465374
1,2,CholeskyCovarSampler,linear_utilities,3,8,1000,0.003913578,0.018936426584347542
1,2,CholeskyCovarSampler,linear_utilities,4,8,1000,0.004055604,2.2597101717442665
1,2,CholeskyCovarSampler,linear_utilities,1,16,1008,0.004497028,1.0746321306424712e-14
1,2,CholeskyCovarSampler,linear_utilities,2,16,1008,0.0048071,6.454937494177231e-15
1,2,CholeskyCovarSampler,linear_utilities,3,16,1008,0.004592916,3.307029739782614e-8
1,2,CholeskyCovarSampler,linear_utilities,6,16,1008,0.002875107,0.11729737190722268
1,2,CholeskyCovarSampler,linear_utilities,8,16,1008,0.004195409,0.28991677899354573
1,2,EigenCovarSampler,log_utilities,1,8,1000,0.028300736,1.9384753886895829e-22
1,2,EigenCovarSampler,log_utilities,1,8,1000,0.025387585,0.08724636445282735
1,2,EigenCovarSampler,log_utilities,2,8,1000,0.022749172,4.1733823374102544e-24
1,2,EigenCovarSampler,log_utilities,3,8,1000,0.027205346,4.303327564821769e-20
1,2,EigenCovarSampler,log_utilities,4,8,1000,0.009057112,0.09036099845588837
1,2,EigenCovarSampler,log_utilities,1,4,1000,0.012020472,0.40585567751767126
1,2,EigenCovarSampler,log_utilities,1,4,1000,0.032501123,1.227070318969024e-16
1,2,EigenCovarSampler,log_utilities,1,4,1000,0.007751683,8.12311789269381
1,2,EigenCovarSampler,log_utilities,2,4,1000,0.03206484,3.274348396141411e-20
1,2,EigenCovarSampler,log_utilities,2,4,1000,0.014341377,1.3108289351279345
1,2,EigenCovarSampler,log_utilities,1,8,1000,0.004360784,3.485201123208085e-16
1,2,EigenCovarSampler,log_utilities,1,8,1000,0.005812852,3.1890676329922154e-16
1,2,EigenCovarSampler,log_utilities,2,8,1000,0.008974872,4.514025907729282e-11
1,2,EigenCovarSampler,log_utilities,3,8,1000,0.008462436,0.023509915892563054
1,2,EigenCovarSampler,log_utilities,4,8,1000,0.008872925,5.606320621270854e-11
1,2,EigenCovarSampler,log_utilities,1,16,1008,0.005135563,9.581643161467654e-17
1,2,EigenCovarSampler,log_utilities,2,16,1008,0.005027631,2.783379585688195e-18
1,2,EigenCovarSampler,log_utilities,3,16,1008,0.005060757,1.3517340549595446e-8
1,2,EigenCovarSampler,log_utilities,6,16,1008,0.005049656,0.0006461073959226402
1,2,EigenCovarSampler,log_utilities,8,16,1008,0.014744371,0.40651518538513826
1,2,CholeskyCovarSampler,log_utilities,1,8,1000,0.004262265,2.624195105024272e-29
1,2,CholeskyCovarSampler,log_utilities,1,8,1000,0.003509134,3.753264601573489e-27
1,2,CholeskyCovarSampler,log_utilities,2,8,1000,0.00346078,1.8430921310098498e-18
1,2,CholeskyCovarSampler,log_utilities,3,8,1000,0.005899215,1.6018819082595815e-26
1,2,CholeskyCovarSampler,log_utilities,4,8,1000,0.00431265,6.6404133173475234e-15
1,2,CholeskyCovarSampler,log_utilities,1,4,1000,0.008364378,4.930380657631324e-32
1,2,CholeskyCovarSampler,log_utilities,1,4,1000,0.023095196,0.028287124311706657
1,2,CholeskyCovarSampler,log_utilities,1,4,1000,0.009730349,0.04605416819576208
1,2,CholeskyCovarSampler,log_utilities,2,4,1000,0.005416562,0.14067246676451067
1,2,CholeskyCovarSampler,log_utilities,2,4,1000,0.010218013,0.0006192032911376792
1,2,CholeskyCovarSampler,log_utilities,1,8,1000,0.003365855,2.9930304398286904e-6
1,2,CholeskyCovarSampler,log_utilities,1,8,1000,0.007542844,1.807534642560516e-19
1,2,CholeskyCovarSampler,log_utilities,2,8,1000,0.003450851,5.687301125169657e-22
1,2,CholeskyCovarSampler,log_utilities,3,8,1000,0.004022823,0.001323254582166314
1,2,CholeskyCovarSampler,log_utilities,4,8,1000,0.003958117,3.725411139506361e-13
1,2,CholeskyCovarSampler,log_utilities,1,16,1008,0.004783701,1.1707303962993611e-15
